Date;trades;Offered XCH;Requested USDS;average price for 1 XCH (in USDS)
14.01.22;5;2.01;185.65;92.363184079602
15.01.22;16;15.211;1375.25;90.4115442771679
16.01.22;10;14.6205;1361.55;93.1260900789987
17.01.22;10;11.75854;1090.677;92.7561585026713
18.01.22;14;4.0135;381.65;95.0915659648686
19.01.22;7;8.17469;744.669;91.0944635209409
20.01.22;10;22.008;2005.62;91.1314067611778
21.01.22;6;10.564833843072;897.52;84.9535367362694
22.01.22;5;2.2016;173.11;78.6291787790698
23.01.22;7;21.213430040448;1698.3;80.0577745683665
24.01.22;9;11.0415;910.588;82.4695919938414
25.01.22;12;11.511500000001;948.656;82.4094166702791
26.01.22;8;12.224133651513;1018.5;83.3187879841234
27.01.22;4;4.613;385;83.4597875569044
28.01.22;7;13.7025;1165.65;85.0684181718665
29.01.22;11;3.816403184211;364.051;95.3911267829695
30.01.22;7;3.612023809524;316.97;87.7541280775143
31.01.22;1;1;85.5;85.5
1.02.22;5;1.6;134.54;84.0875
2.02.22;23;21.648;1937.9;89.5186622320769
3.02.22;3;2.011235955;169.5;84.2765363152032
4.02.22;8;6.024846369;512.364;85.0418365248775
5.02.22;2;5.00000000011;404.75;80.9499999982191
6.02.22;2;0.35;28;80
7.02.22;8;3.643406770464;307.31;84.3468817402629
8.02.22;8;9.5025;804.505;84.6624572480926
9.02.22;2;2;168.2;84.1
10.02.22;5;3.88;325.9;83.9948453608247
11.02.22;2;1.5;124.4;82.9333333333333
12.02.22;2;2.1;172.4;82.0952380952381
13.02.22;1;1;82;82
14.02.22;8;12.0496;1134.57;94.1583123091223
15.02.22;2;1.264;102.84;81.3607594936709
16.02.22;3;3;244.5;81.5
17.02.22;2;1.00001;80.91;80.9091909080909
18.02.22;6;5.5;419.7;76.3090909090909
19.02.22;3;2.40000000001;183.381;76.4087499996816
20.02.22;2;2;150.5;75.25
21.02.22;5;6;476;79.3333333333333
22.02.22;5;2.51541106159;199.5;79.3110927459687
23.02.22;5;11.46;951.39;83.0183246073298
24.02.22;2;0.6167;152.21;246.813685746716
25.02.22;1;5;390;78
27.02.22;6;10.4;927.69;89.2009615384615
28.02.22;9;14.3175;1364.95;95.33438100227
1.03.22;5;4.072;327.26;80.3683693516699
2.03.22;1;0.22;20;90.9090909090909
3.03.22;3;3;230.5;76.8333333333333
4.03.22;8;9.2869;704.8;75.8918476563762
5.03.22;2;2;152.3;76.15
6.03.22;8;7.672483221;581.09;75.7368876883986
7.03.22;22;18.439999899;1482.58;80.4002173601097
8.03.22;30;34.971;2580.65;73.7940007434732
9.03.22;6;4.923333333;363.15;73.7610020361382
10.03.22;13;21.5;1543.65;71.7976744186047
11.03.22;18;25.0831;1801.99;71.840801176888
12.03.22;14;12.16089784216;839.15;69.0039510973272
13.03.22;1;0.5;35;70
14.03.22;1;0.01;0.705;70.5
15.03.22;6;12;825.85;68.8208333333333
16.03.22;7;6;399.98;66.6633333333333
17.03.22;2;2;132.09;66.045
18.03.22;4;3.469;240.2;69.2418564427789
19.03.22;11;24.05;1872.9;77.8752598752599
20.03.22;11;8.338;641.055;76.8835452146798
21.03.22;9;14.51;986.9;68.0151619572709
22.03.22;5;3.2479;223.12;68.6966963268574
23.03.22;6;12.0534;809.6;67.1677700897672
24.03.22;1;1;68;68
25.03.22;8;2.737633983;190.455;69.5691977754062
26.03.22;4;3.0839;218.25;70.7707772625572
27.03.22;4;2.519100000124;178;70.6601564015871
28.03.22;6;2.5847;193.5;74.8636205362325
29.03.22;2;1;74.45;74.45
30.03.22;4;3;223.4;74.4666666666667
31.03.22;3;2.5;184.75;73.9
1.04.22;4;4;283.5;70.875
2.04.22;6;1.65462;128.3;77.5404624626803
3.04.22;3;1.7109;126.305;73.8237185107253
4.04.22;3;2.5;175.95;70.38
5.04.22;1;1;74.2;74.2
6.04.22;1;0.1;7;70
7.04.22;6;3.9312;281.03;71.4870777370777
8.04.22;6;4.77;343.35;71.9811320754717
9.04.22;4;2.7836;202.52;72.7547061359391
10.04.22;6;2.801616;205.6;73.3862170975608
11.04.22;4;3.843167;262.3;68.2510023634154
12.04.22;4;4;260.6;65.15
13.04.22;4;1.68302;109.045;64.7912680776224
14.04.22;2;0.5327;34.83;65.3838933733809
15.04.22;6;4.7626;305.07;64.0553479192038
16.04.22;4;2.9002;183.57;63.295634783808
17.04.22;1;5;322.5;64.5
18.04.22;1;1;63.85;63.85
19.04.22;3;2.5;161.025;64.41
20.04.22;14;18.31413;1320.75;72.1164477919508
21.04.22;6;9.05882;620.8;68.5298968298299
22.04.22;3;3.0432;202.8;66.6403785488959
23.04.22;6;3.02;205.54;68.0596026490066
24.04.22;10;12.4185;862.075;69.4186093328502
25.04.22;4;7.5;513.7;68.4933333333333
26.04.22;1;0.5;30;60
27.04.22;11;10.2628;661.85;64.4901976068909
28.04.22;6;4.5;280.375;62.3055555555556
29.04.22;7;4.5178;282;62.4197618309797
30.04.22;6;3.73052;238.748;63.9985846477167
1.05.22;5;4.320459729151;253.753;58.7328700896986
2.05.22;5;2.89126;163.5;56.5497395599151
3.05.22;5;14.6589;818.2;55.8159207034634
4.05.22;4;2.906;168.395;57.9473503097041
5.05.22;7;6.5;364.45;56.0692307692308
6.05.22;1;1;55.85;55.85
7.05.22;10;9.935;577.05;58.0825364871666
8.05.22;12;13.386;683.55;51.0645450470641
9.05.22;9;12.055450910969;544.407;45.1585763170962
10.05.22;8;8;383.69;47.96125
11.05.22;4;8;387.2;48.4
12.05.22;11;13.1652;556.8;42.2933187494303
13.05.22;14;36.4654;1709.125;46.8697724418216
14.05.22;6;10;466.55;46.655
15.05.22;9;17;735.02;43.2364705882353
16.05.22;7;14.0975;596.5;42.3124667494237
17.05.22;7;5.0000111007;209.27;41.8539070784668
18.05.22;10;38.258116752658;1499.65;39.198217980654
19.05.22;6;14.24;571.3;40.1193820224719
20.05.22;10;29;1173.25;40.4568965517241
21.05.22;12;10.4868;419.177;39.971869397719
22.05.22;8;19.605;758.11;38.6692170364703
23.05.22;7;21.5;836.1;38.8883720930233
24.05.22;10;33;1306.5;39.5909090909091
25.05.22;13;33.010015363607;1347.515;40.8213987529861
26.05.22;21;88.32;3452.735;39.0934669384058
27.05.22;7;9.23;341.2;36.9664138678223
28.05.22;6;13.5;527.375;39.0648148148148
29.05.22;7;7;267.75;38.25
30.05.22;4;17.2222;681.311;39.5600445936059
31.05.22;22;49.3982;1913.044;38.7269981497302
1.06.22;1;0.05;1.65;33
2.06.22;6;10.55;377.94;35.8236966824645
3.06.22;11;41.648895;1532.25;36.7896915392353
4.06.22;2;2;69.2;34.6
5.06.22;17;21.000000001;696.98;33.1895238079434
6.06.22;4;1.991494876855;67.4;33.8439233679773
7.06.22;7;16;526.72;32.92
8.06.22;3;22.6502;753.06;33.2473885440305
9.06.22;15;45.5;1449.7;31.8615384615385
10.06.22;17;82.5;2535.355;30.7315757575758
11.06.22;2;2;61.9;30.95
12.06.22;27;30.2512;901.25;29.7922065901518
13.06.22;17;31.2854;917.75;29.3347695730277
14.06.22;8;9.5;275.65;29.0157894736842
15.06.22;20;20.1621;589.285;29.2273622291329
16.06.22;1;0.0666;2;30.03003003003
17.06.22;15;16.405033926085;514.868;31.3847567959813
18.06.22;20;133.8918;4705.14;35.1413604119147
19.06.22;32;94.7516;3853.9;40.6737194939188
20.06.22;19;43.8605;2105.32;48.000364792923
21.06.22;12;52;2607.85;50.1509615384615
22.06.22;15;14;624.165;44.5832142857143
23.06.22;11;12.5;537.965;43.0372
